"transaction_id";"name";"creator_id";"group";"created_on";"updated_on";"method_type";"method_task_id";"transaction_is_public";"csv_separator";"csv_header_size";"csv_header_row";"csv_timestamp_column";"comment";"ttl"
"1";1466078248;Data Mobile - Cilaos Piscine - Campaign 15;root;RCI-GS;2016-06-16 11:57:28;2016-06-16 11:57:28;FTP;1466078248;NA;,;4;2;1;Transaction created by Falcon on 2016-06-16 11:57:28, original task name : Data Mobile - Cilaos Piscine - Campaign 15;0
"2";1465986548;Data EDF - Saint Leu - Campaign 5;root;RCI-GS;2016-06-15 10:29:08;2016-06-15 10:29:08;FTP;1465986548;NA;,;4;2;1;Transaction created by Falcon on 2016-06-15 10:29:08, original task name : Data EDF - Saint Leu - Campaign 5;0
"3";1466078374;Data Mobile - Cilaos - Campaign 11;root;RCI-GS;2016-06-16 11:59:34;2016-06-16 11:59:34;FTP;1466078374;NA;,;4;2;1;Transaction created by Falcon on 2016-06-16 11:59:34, original task name : Data Mobile - Cilaos - Campaign 11;0
"4";1465986253;Data EDF - Saint Andre - Campaign 1;root;RCI-GS;2016-06-15 10:24:13;2016-06-15 10:24:13;FTP;1465986253;NA;,;4;2;1;Transaction created by Falcon on 2016-06-15 10:24:13, original task name : Data EDF - Saint Andre - Campaign 1;0
"5";1465989663;Data EDF - Saint Pierre La Valle - Campaign 2;root;RCI-GS;2016-06-15 11:21:03;2016-06-15 11:21:03;FTP;1465989663;NA;,;4;2;1;Transaction created by Falcon on 2016-06-15 11:21:03, original task name : Data EDF - Saint Pierre La Valle - Campaign 2;0
"6";1495781086;Data Mobile - Cratere Bory;root;GEO_SUN;2017-05-26 06:44:46;2017-05-26 06:44:46;FTP;1495781086;NA;,;4;2;1;Transaction created by Falcon on 2017-05-26 06:44:46, original task name : Data Mobile - Cratere Bory;0
"7";1494480630;Data Mobile - Rodrigues;root;RCI-GS;2017-05-11 05:30:30;2017-05-11 05:30:30;FTP;1494480630;NA;,;4;2;1;Transaction created by Falcon on 2017-05-11 05:30:30, original task name : Data Mobile - Rodrigues;0
"8";1465986423;Data EDF - Moufia Bois De Nefles - Campaign 3;root;RCI-GS;2016-06-15 10:27:03;2016-06-15 10:27:03;FTP;1465986423;NA;,;4;2;1;Transaction created by Falcon on 2016-06-15 10:27:03, original task name : Data EDF - Moufia Bois De Nefles - Campaign 3;0
"9";1466062186;Data Mobile - Tampon UR - Campaign 9;root;RCI-GS;2016-06-16 07:29:46;2016-06-16 07:29:46;FTP;1466062186;NA;,;4;2;1;Transaction created by Falcon on 2016-06-16 07:29:46, original task name : Data Mobile - Tampon UR - Campaign 9;0
"10";1466063054;Data Mobile - Le Port - Campaign 6;root;RCI-GS;2016-06-16 07:44:14;2016-06-16 07:44:14;FTP;1466063054;NA;,;4;2;1;Transaction created by Falcon on 2016-06-16 07:44:14, original task name : Data Mobile - Le Port - Campaign 6;0
"11";1506091350;Data Mobile - Saint Louis;root;RCI-GS;2017-09-22 14:42:30;2017-09-22 14:42:30;FTP;1506091350;NA;,;4;2;1;Transaction created by Falcon on 2017-09-22 14:42:30, original task name : Data Mobile - Saint Louis;0
"12";1465996208;Data Mobile - Maurice - Campaign 20;root;RCI-GS;2016-06-15 13:10:08;2016-06-15 13:10:08;FTP;1465996208;NA;,;4;2;1;Transaction created by Falcon on 2016-06-15 13:10:08, original task name : Data Mobile - Maurice - Campaign 20;0
"13";1466078313;Data Mobile - Cilaos - Campaign 14;root;RCI-GS;2016-06-16 11:58:33;2016-06-16 11:58:33;FTP;1466078313;NA;,;4;2;1;Transaction created by Falcon on 2016-06-16 11:58:33, original task name : Data Mobile - Cilaos - Campaign 14;0
"14";1487856319;Data Qi - Moufia UR - 0;root;RCI-GS;2017-02-23 13:25:19;2017-02-23 13:25:19;FTP;1487856319;NA;,;4;2;1;Transaction created by Falcon on 2017-02-23 13:25:19, original task name : Data Qi - Moufia UR - 0;0
